DIRECTORIO;FEX_C
7570708;18.734906414
7570709;11.892972705
7570839;27.065859615
7570840;14.678573455
7570841;29.326118403
7570843;23.55243666
7570844;28.518152651
7570845;28.898336178
7570846;28.821851351
7570847;35.072400033
7570848;27.765477135
7570849;22.424482458
7570850;25.635198779
7570851;26.757718683
7570852;25.925593319
7570854;26.982671616
7570855;19.519529731
7570857;20.096504447
7570858;26.236071307
7570860;16.89701879
7570862;31.603672492
7570864;25.729464266
7570865;25.925593319
7570866;25.733697172
7570870;21.807811722
7570871;16.309526061
7570873;27.369712765
7570876;37.401882957
7570877;70.032036681
7570879;67.789380513
7570880;37.401882957
7570882;37.922433149
7570883;47.752776711
7570884;45.99304483
7570893;56.455753577
7570901;81.522252573
7570903;80.298838088
7570905;65.586264259
7570906;36.1748111
7570907;51.980335577
7570908;52.15202404
7570909;52.15202404
7570910;72.755935413
7570912;52.15202404
7570913;69.318516224
7570915;54.118965075
7570916;98.629585792
7570917;79.37011136
7570918;71.361355414
7570919;69.835424313
7570923;35.944979258
7570924;77.431009718
7570925;62.376402693
7570926;66.153125461
7570927;82.631972859
7570928;78.497490955
7570929;50.89249228
7570930;47.321795668
7570931;98.920664691
7570932;72.943197676
7570933;37.351914616
7570935;60.360205604
7570937;70.930131804
7570938;48.656345469
7570939;47.838427425
7570941;49.832818629
7570942;51.39482514
7570943;39.031054908
7570945;48.656345469
7570946;58.914884585
7571108;482.54764738
7571109;266.23920284
7571110;306.92861672
7571112;507.09121505
7571113;432.28125795
7571114;290.96463461
7571115;398.21171696
7571116;325.86091428
7571117;325.86091428
7571118;493.86732667
7571123;382.94064198
7571124;336.55212793
7571125;237.65706742
7571126;102.6164214
7571130;135.85790183
7571131;307.40260215
7571132;237.65706742
7571133;329.94474646
7571135;333.69654004
7571136;333.79053487
7571137;442.52716754
7571138;461.43165979
7571139;330.07926031
7571729;13.127934447
7571730;8.4858947796
7571731;16.222844275
7571732;12.527143311
7571733;6.3661744792
7571734;6.8886889088
7571736;13.383635847
7571737;10.950247511
7571738;61.415411948
7571740;47.321795668
7571741;70.169045616
7571742;60.404528768
7571744;70.169045616
7571745;43.019814243
7571746;111.09567943
7571747;60.404528768
7571748;67.673586118
7574610;39.719546888
7574615;31.853161443
7574616;46.112315978
7574669;388.95825686
7574670;528.55408535
7574671;209.01273463
7574672;163.21519051
7574674;373.21329181
7574677;165.52013698
7574678;174.82011631
7574681;360.50928086
7574683;165.52013698
7574684;306.3550591
7574685;169.41014589
7574686;280.7580656
7574687;295.174173
7574688;259.10126779
7574689;162.58035298
7574690;390.05719394
7574692;207.18185565
7574695;231.76967192
7574696;285.10743534
7574698;270.72840955
7574699;257.00807773
7574814;214.11251995
7574816;375.54041628
7574818;328.70343078
7574821;304.12112344
7574824;243.22879127
7574825;219.88280396
7574826;290.70971394
7574827;187.02919362
7574828;248.13265377
7574829;248.13265377
7574830;162.15252751
7574831;196.46987079
7574832;247.29576162
7574833;214.44215128
7574843;177.49802421
7574844;361.35447669
7574846;214.11251995
7574848;231.4548881
7574849;270.26731195
7574854;257.17209789
7574857;156.13920517
7574864;187.3670462
7574865;304.12112344
7574911;54.815001824
7574912;79.527251298
7574913;38.811592594
7574914;77.611352197
7574915;96.460496529
7574916;71.414475854
7574917;48.5503661
7574918;46.342030609
7574920;60.114018651
7574921;69.339527267
7574922;72.175577075
7574923;90.451468703
7574925;75.628464006
7574926;84.062677778
7574927;71.632418403
7574928;84.733916991
7574929;69.509322589
7574930;91.273721746
7574931;67.955969538
7574932;53.665411981
7574934;66.270382186
7574935;66.9502554
7574936;97.957361528
7574937;66.9502554
7574938;65.548522608
7574940;85.539406011
7574941;77.236717682
7574943;50.749438989
7574945;57.551851828
7574946;69.875942951
7574947;77.956161688
7574948;36.905483025
7574950;71.077174312
7574951;72.205555134
7574952;42.923340997
7574953;7.5448165277
7574954;9.5417562709
7574955;11.777725375
7574956;30.700676704
7574957;10.679926967
7574958;42.605630861
7574959;43.128396542
7574960;31.284119121
7574961;125.55881126
7574962;119.13308978
7574963;148.51201914
7574964;146.4977992
7574965;110.77452645
7574966;148.51201914
7574967;219.99703322
7574968;229.49291098
7574969;278.53205308
7574970;154.85636254
7575038;379.30237132
7575039;224.01748074
7575040;112.83843548
7575042;145.23786392
7575043;179.43170877
7575044;267.56853643
7575046;191.24450102
7575213;90.657694892
7575214;111.36889708
7575215;74.019106554
7575216;93.115272948
7575217;99.671874541
7575218;131.34938704
7575220;67.417769542
7575221;119.70244629
7575222;80.540560021
7575223;67.417769542
7575224;124.57286698
7575225;93.115272948
7575227;75.608876407
7575228;114.96053106
7575229;61.688779614
7575230;92.426051994
7575231;67.417769542
7575232;66.875529815
7575234;105.57864423
7575235;71.116693531
7575236;109.5094753
