"","DIRECTORIO","SECUENCIA_P","moda_estado","madres_jovenes"
"554",7567661,1,2,1
"555",7567662,1,1,1
"556",7567663,1,1,0
"557",7567664,1,2,0
"558",7567665,1,1,0
"559",7567666,1,1,0
"560",7567667,1,1,0
"561",7567668,1,1,0
"562",7567669,1,2,1
"563",7567671,1,2,1
"564",7567672,1,1,0
"565",7567673,1,2,0
"566",7567674,1,1,0
"567",7567676,1,2,0
"568",7567677,1,2,0
"569",7567678,1,1,0
"570",7567680,1,2,0
"571",7567681,1,2,0
"572",7567682,1,3,0
"573",7567684,1,2,0
"574",7567685,1,1,0
"575",7567686,1,2,1
"576",7567687,1,3,0
"577",7567689,1,2,0
"578",7567690,1,2,0
"579",7567691,1,2,0
"580",7567693,1,2,0
"581",7567694,1,2,1
"582",7567696,1,2,0
"583",7567697,1,2,0
"584",7567698,1,2,1
"585",7567699,1,2,1
"586",7567702,1,2,1
"587",7567703,1,2,0
"588",7567704,1,2,1
"589",7567705,1,2,1
"590",7567706,1,2,1
"591",7567707,1,2,0
"592",7567708,1,2,1
"593",7567710,1,2,0
"594",7567711,1,2,0
"595",7567712,1,3,0
"596",7567713,1,2,0
"597",7567714,1,2,0
"598",7567716,1,2,1
"599",7567717,1,2,0
"600",7567720,1,2,0
"601",7567722,1,3,0
"602",7567723,1,1,0
"603",7567724,1,1,1
"604",7567725,1,1,1
"605",7567726,1,2,1
"606",7567727,1,3,0
"607",7567728,1,2,0
"608",7567729,1,2,0
"609",7567730,1,2,1
"610",7567733,1,3,0
"611",7567734,1,1,1
"612",7567735,1,1,1
"613",7567736,1,3,0
"614",7567737,1,2,0
"615",7567738,1,2,0
"616",7567739,1,2,0
"617",7567741,1,1,0
"618",7567742,1,2,0
"619",7567743,1,2,0
"620",7567744,1,2,0
"621",7567745,1,2,1
"622",7567746,1,2,0
"623",7567747,1,2,0
"624",7567749,1,2,0
"625",7567751,1,2,0
"626",7567754,1,1,0
"627",7567755,1,2,1
"628",7567756,1,2,1
"629",7567757,1,1,1
"630",7567758,1,2,0
"631",7567759,1,1,0
"632",7567760,1,1,0
"633",7567761,1,2,1
"634",7567762,1,2,0
"635",7567763,1,3,0
"636",7567765,1,2,0
"637",7567766,1,2,0
"638",7567767,1,2,0
"639",7567768,1,2,1
"640",7567769,1,2,0
"641",7567770,1,2,0
"642",7567771,1,2,0
"643",7567772,1,2,0
"644",7567773,1,1,0
"645",7567774,1,2,0
"646",7567775,1,3,1
"647",7567776,1,1,0
"648",7567777,1,2,0
"649",7567778,1,3,1
"650",7567780,1,2,0
"651",7567781,1,2,0
"652",7567782,1,2,1
"653",7567783,1,2,0
"654",7567784,1,3,1
"655",7567785,1,2,1
"656",7567786,1,2,1
"657",7567787,1,2,1
"658",7567788,1,2,0
"659",7567789,1,2,1
"660",7567790,1,2,1
"661",7567791,1,1,1
"662",7567793,1,2,0
"663",7567794,1,2,0
"664",7567795,1,1,0
"665",7567796,1,1,2
"666",7567797,1,3,0
"667",7567798,1,1,0
"668",7567800,1,2,0
"669",7567801,1,3,0
"670",7567802,1,3,0
"671",7567803,1,2,1
"672",7567804,1,1,1
"673",7567805,1,3,1
"674",7567806,1,2,1
"675",7567807,1,2,0
"676",7567808,1,3,1
"677",7567809,1,2,1
"678",7567810,1,3,0
"679",7567811,1,1,0
"680",7567812,1,1,0
"681",7567813,1,2,0
"682",7567814,1,1,2
"683",7567815,1,2,0
"684",7567816,1,1,0
"685",7567818,1,2,0
"686",7567819,1,3,0
"687",7567820,1,2,0
"688",7567821,1,1,1
"689",7567823,1,3,0
"690",7567824,1,2,0
"691",7567825,1,1,0
"692",7567826,1,2,0
"693",7567827,1,2,0
"694",7567828,1,1,0
"695",7567829,1,3,0
"696",7567830,1,2,0
"697",7567832,1,1,0
"698",7567833,1,3,0
"699",7567834,1,3,0
"700",7567835,1,2,1
"701",7567836,1,2,0
"702",7567837,1,2,0
"703",7567838,1,2,0
"704",7567839,1,3,1
"705",7567840,1,2,1
"706",7567841,1,1,1
"707",7567842,1,2,1
"708",7567843,1,2,0
"709",7567844,1,1,0
"710",7567845,1,2,0
"711",7567846,1,2,1
"712",7567847,1,2,1
"713",7567847,2,2,0
"714",7567848,1,2,0
"715",7567849,1,2,1
"716",7567850,1,2,0
"717",7567851,1,3,0
"718",7567852,1,2,1
"719",7567853,1,2,0
"720",7567854,1,2,0
"721",7567855,1,2,0
"722",7567857,1,2,0
"723",7567858,1,2,0
"724",7567859,1,2,1
"725",7567860,1,2,1
"726",7567862,1,2,0
"727",7567863,1,2,1
"728",7567864,1,2,0
"729",7567865,1,2,1
"730",7567866,1,1,0
"731",7567869,1,2,1
"732",7567870,1,2,0
"733",7567871,1,1,0
"734",7567872,1,2,0
"735",7567873,1,2,0
"736",7567874,1,2,1
"737",7567875,1,1,0
"738",7567877,1,2,0
"739",7567878,1,2,0
"740",7567879,1,2,0
"741",7567880,1,2,1
"742",7567881,1,2,1
"743",7567882,1,2,0
"744",7567883,1,1,1
"745",7567884,1,2,0
"746",7567885,1,2,0
"747",7567887,1,1,0
"748",7567888,1,2,0
"749",7567889,1,2,0
"750",7567890,1,2,2
"751",7567891,1,1,0
"752",7567892,1,2,0
"753",7567893,1,2,0
"754",7567894,1,2,1
"755",7567895,1,2,0
"756",7567896,1,2,0
"757",7567897,1,1,0
"758",7567898,1,3,0
"759",7567899,1,2,0
"760",7567900,1,1,1
"761",7567901,1,2,0
"762",7567902,1,2,1
"763",7567903,1,2,0
"764",7567904,1,2,0
"765",7567905,1,2,0
"766",7567906,1,2,0
"767",7567907,1,3,0
"768",7567908,1,1,1
"769",7567909,1,2,1
"770",7567910,1,2,1
"771",7567911,1,2,1
"772",7567912,1,3,1
"773",7567913,1,2,1
"774",7567914,1,2,0
"775",7567915,1,2,0
"776",7567916,1,2,1
"777",7567917,1,2,0
"778",7567918,1,3,0
"779",7567921,1,1,0
"780",7567923,1,2,0
"781",7567924,1,2,0
"782",7567925,1,2,0
"783",7567927,1,1,0
"784",7567928,1,2,0
"785",7567930,1,1,0
"786",7567931,1,2,0
"787",7567933,1,2,0
"788",7567934,1,2,0
"789",7567935,1,2,0
"790",7567938,1,2,0
"791",7567939,1,1,0
"792",7567940,1,2,0
"793",7567941,1,2,0
"794",7567942,1,2,0
"795",7567943,1,1,1
"796",7567944,1,1,0
"797",7567945,1,1,0
"798",7567946,1,2,1
"799",7567948,1,1,0
"800",7567949,1,2,0
"801",7567950,1,1,0
"802",7567952,1,2,0
"803",7567953,1,2,0
"804",7567954,1,3,0
"805",7567955,1,2,1
"806",7567956,1,1,0
"807",7567957,1,2,1
"808",7567958,1,1,1
"809",7567959,1,2,0
"810",7567960,1,1,0
"811",7567961,1,3,0
"812",7567962,1,2,1
"813",7567963,1,1,0
"814",7567964,1,1,0
"815",7567965,1,2,0
"816",7567966,1,1,0
"817",7567967,1,1,1
"818",7567968,1,2,1
"819",7567971,1,2,0
"820",7567975,1,2,0
"821",7567976,1,1,0
"822",7567977,1,1,0
"823",7567978,1,1,0
"824",7567979,1,1,0
"825",7567980,1,4,0
"826",7567982,1,2,0
"827",7567983,1,2,0
"828",7567984,1,1,0
"829",7567985,1,2,0
"830",7567986,1,2,0
"831",7567987,1,3,0
"832",7567988,1,2,0
"833",7567989,1,2,1
"834",7567990,1,2,0
"835",7567991,1,2,0
"836",7567992,1,2,1
"837",7567993,1,2,1
"838",7567994,1,2,1
"839",7567995,1,1,0
"840",7567996,1,2,0
"841",7567997,1,2,0
"842",7567998,1,1,1
"843",7567998,2,1,1
"844",7567999,1,2,1
"845",7568000,1,1,1
"846",7568000,2,2,0
"847",7568001,1,3,0
"848",7568002,1,2,1
"849",7568003,1,3,1
"850",7568004,1,2,0
"851",7568005,1,1,0
"852",7568006,1,2,0
"853",7568007,1,2,0
"854",7568008,1,2,0
"855",7568009,1,2,1
"856",7568010,1,2,0
"857",7568011,1,2,0
"858",7568012,1,2,0
"859",7568013,1,2,0
"860",7568014,1,2,1
"861",7568016,1,1,0
"862",7568017,1,1,1
"863",7568018,1,1,1
"864",7568020,1,1,1
"865",7568022,1,3,0
"866",7568023,1,1,1
"867",7568024,1,2,1
"868",7568025,1,1,1
"869",7568027,1,2,0
"870",7568029,1,2,1
"871",7568030,1,2,0
"872",7568031,1,1,0
"873",7568032,1,2,0
"874",7568033,1,2,1
"875",7568034,1,1,0
"876",7568035,1,2,0
"877",7568036,1,2,0
"878",7568037,1,2,1
"879",7568038,1,1,0
"880",7568039,1,2,1
"881",7568040,1,2,0
"882",7568041,1,2,1
"883",7568042,1,2,0
"884",7568043,1,2,0
"885",7568044,1,1,0
"886",7568046,1,2,0
"887",7568047,1,2,0
"888",7568058,1,3,0
"889",7568059,1,1,0
"890",7568060,1,1,0
"891",7568062,1,1,0
"892",7568063,1,1,0
"893",7568064,1,2,0
"894",7568065,1,1,0
"895",7568066,1,1,0
"896",7568067,1,1,0
"897",7568069,1,1,0
"898",7568070,1,1,0
"899",7568071,1,1,0
"900",7568072,1,2,0
"901",7568073,1,2,1
"902",7568074,1,2,1
"903",7568075,1,1,0
"904",7568076,1,1,0
"905",7568077,1,2,0
"906",7568078,1,2,0
"907",7568079,1,2,0
"908",7568081,1,2,0
"909",7568082,1,2,0
"910",7568083,1,2,0
"911",7568084,1,2,0
"912",7568085,1,1,1
"913",7568087,1,1,0
"914",7568089,1,2,1
"915",7568090,1,3,0
"916",7568091,1,1,0
"917",7568093,1,2,0
"918",7568095,1,3,0
"919",7568096,1,2,0
"920",7568097,1,2,1
"921",7568098,1,2,0
"922",7568099,1,1,0
"923",7568100,1,2,1
"924",7568101,1,3,0
"925",7568102,1,2,0
"926",7568103,1,2,1
"927",7568105,1,2,1
"928",7568106,1,2,0
"929",7568107,1,2,1
"930",7568108,1,2,1
"931",7568109,1,2,0
"932",7568111,1,1,1
"933",7568113,1,2,0
"934",7568114,1,2,1
"935",7568115,1,1,0
"936",7568116,1,2,1
"937",7568118,1,2,1
"938",7568120,1,1,1
"939",7568121,1,2,1
"940",7568122,1,3,1
"941",7568123,1,1,0
"942",7568124,1,3,0
"943",7568126,1,1,1
"944",7568131,1,1,1
"945",7568132,1,1,0
"946",7568133,1,3,2
"947",7568134,1,2,0
"948",7568135,1,2,0
"949",7568137,1,2,0
"950",7568138,1,1,1
"951",7568139,1,3,1
"952",7568140,1,2,0
"953",7568143,1,2,0
"954",7568144,1,1,0
"955",7568145,1,2,1
"956",7568146,1,2,1
"957",7568147,1,2,0
"958",7568148,1,1,0
"959",7568149,1,1,1
"960",7568150,1,1,0
"961",7568151,1,2,0
"962",7568152,1,3,1
"963",7568153,1,2,0
"964",7568154,1,1,1
"965",7568155,1,2,1
"966",7568156,1,2,1
"967",7568158,1,1,0
"968",7568159,1,3,0
"969",7568160,1,2,0
"970",7568161,1,2,0
"971",7568162,1,1,0
"972",7568163,1,2,0
"973",7568164,1,2,1
"974",7568165,1,2,0
"975",7568166,1,1,0
"976",7568168,1,1,0
"977",7568169,1,2,0
"978",7568171,1,2,0
"979",7568174,1,1,1
"980",7568175,1,2,0
"981",7568176,1,2,0
"982",7568177,1,1,1
"983",7568178,1,2,1
"984",7568179,1,1,1
"985",7568180,1,2,0
"986",7568181,1,1,0
"987",7568182,1,1,1
"988",7568183,1,1,1
"989",7568184,1,2,0
"990",7568185,1,2,0
"991",7568186,1,2,0
"992",7568187,1,2,0
"993",7568188,1,2,0
"994",7568189,1,2,0
"995",7568190,1,2,0
"996",7568192,1,2,0
"997",7568193,1,2,0
"998",7568195,1,2,1
"999",7568197,1,2,1
"1000",7568198,1,1,1
"1001",7568200,1,2,0
"1002",7568201,1,2,1
"1003",7568202,1,2,0
"1004",7568205,1,2,0
"1005",7568206,1,1,1
"1006",7568207,1,1,0
"1007",7568208,1,2,0
"1008",7568209,1,2,0
"1009",7568210,1,2,0
"1010",7568212,1,2,1
"1011",7568213,1,1,2
"1012",7568215,1,1,0
"1013",7568216,1,1,1
"1014",7568219,1,2,0
"1015",7568220,1,1,0
"1016",7568221,1,2,0
"1017",7568222,1,2,2
"1018",7568224,1,2,0
"1019",7568226,1,2,1
"1020",7568227,1,2,0
"1021",7568228,1,2,0
"1022",7568229,1,2,1
"1023",7568230,1,2,0
"1024",7568231,1,1,0
"1025",7568232,1,1,1
"1026",7568233,1,2,0
"1027",7568234,1,3,0
"1028",7568235,1,2,0
"1029",7568237,1,1,1
"1030",7568238,1,2,0
"1031",7568239,1,2,1
"1032",7568240,1,2,0
"1033",7568241,1,1,0
"1034",7568242,1,2,1
"1035",7568245,1,2,0
"1036",7568246,1,2,0
"1037",7568248,1,2,1
"1038",7568248,2,2,1
"1039",7568249,1,1,1
"1040",7568250,1,2,0
"1041",7568252,1,3,1
"1042",7568253,1,2,0
"1043",7568254,1,3,1
"1044",7568255,1,2,0
"1045",7568256,1,2,0
"1046",7568258,1,2,0
"1047",7568259,1,2,1
"1048",7568261,1,2,1
"1049",7568264,1,2,0
"1050",7568267,1,2,1
"1051",7568268,1,2,1
"1052",7568269,1,2,0
"1053",7568270,1,2,1
"1054",7568271,1,3,0
"1055",7568273,1,1,0
"1056",7568274,1,1,0
"1057",7568275,1,3,0
"1058",7568276,1,1,1
"1059",7568277,1,2,0
"1060",7568277,2,2,0
"1061",7568278,1,2,0
"1062",7568281,1,2,2
"1063",7568282,1,1,1
