"","DIRECTORIO","SECUENCIA_P","CLASE","CANT_HOGARES_VIVIENDA","P2102","P1070","P4005","P4015","P4567","P8520S1A1","P8520S5","P8520S3","P8520S4"
"274",7567283,1,2,1,3,1,1,6,3,1,1,1,1
"275",7567284,1,2,1,4,1,1,6,3,1,1,1,1
"276",7567285,1,2,1,3,1,1,6,3,1,1,1,1
"277",7567286,1,2,1,4,1,1,6,3,2,1,1,1
"278",7567287,1,2,1,4,1,1,6,3,1,1,1,1
"279",7567288,1,2,1,4,1,1,6,3,2,1,1,1
"280",7567289,1,2,1,4,1,1,4,4,0,1,1,1
"281",7567290,1,2,1,4,1,1,6,3,2,1,1,1
"282",7567291,1,2,1,4,1,1,4,3,2,1,1,1
"283",7567292,1,2,1,4,1,1,4,3,2,1,1,1
"284",7567294,1,2,1,3,1,1,4,3,2,1,1,1
"285",7567295,1,2,1,3,1,1,6,3,2,1,1,1
"286",7567296,1,2,1,3,1,1,4,3,2,1,1,1
"287",7567297,1,2,1,3,1,1,6,3,2,1,1,1
"288",7567299,1,2,1,3,1,1,4,3,1,1,1,1
"289",7567300,1,1,1,2,2,1,4,3,1,1,1,1
"290",7567303,1,1,1,4,1,1,6,6,1,1,1,1
"291",7567305,1,1,1,4,1,1,6,3,1,1,1,1
"292",7567306,1,1,1,3,1,1,4,1,2,1,1,1
"293",7567307,1,1,1,4,1,1,6,3,2,1,1,1
"294",7567308,1,1,1,4,1,1,4,3,2,1,1,1
"295",7567309,1,1,1,4,1,1,6,2,1,1,1,1
"296",7567310,1,1,1,2,1,1,4,3,2,1,1,1
"297",7567311,1,1,1,1,1,1,4,4,2,1,1,1
"298",7567312,1,1,1,4,1,1,4,3,2,1,1,1
"299",7567313,1,1,1,4,1,1,6,3,2,1,1,1
"300",7567314,1,1,1,3,1,1,4,3,2,1,1,1
"301",7567315,1,1,1,1,1,1,4,6,2,1,1,1
"302",7567316,1,1,1,1,1,1,4,1,2,1,1,1
"303",7567318,1,1,1,4,1,1,6,4,2,2,2,1
"304",7567320,1,1,1,4,1,1,6,4,2,1,2,1
"305",7567321,1,2,1,4,1,5,6,4,1,1,1,2
"306",7567322,1,2,1,4,1,5,6,4,1,1,1,2
"307",7567323,1,1,1,4,1,1,3,1,3,1,1,1
"308",7567324,1,1,1,4,1,1,4,1,3,1,1,1
"309",7567326,1,1,1,4,1,1,3,1,3,1,1,1
"310",7567329,1,1,1,4,1,1,4,3,3,1,1,1
"311",7567332,1,1,1,1,2,1,6,3,1,1,1,1
"312",7567334,1,1,1,4,1,1,4,1,3,1,1,1
"313",7567335,1,1,1,4,1,1,4,1,3,1,1,1
"314",7567336,1,1,1,3,1,1,6,3,1,1,1,1
"315",7567340,1,1,1,3,2,1,4,3,1,1,1,1
"316",7567341,1,1,1,4,1,1,6,1,2,1,1,1
"317",7567342,1,1,1,4,1,1,4,3,2,1,1,1
"318",7567346,1,1,1,4,1,1,4,1,2,1,1,1
"319",7567347,1,1,1,4,1,1,3,1,2,1,1,1
"320",7567349,1,1,1,4,1,1,6,4,1,1,1,1
"321",7567350,1,1,1,4,1,9,6,3,1,1,1,1
"322",7567351,1,1,1,4,1,1,6,4,1,1,1,1
"323",7567356,1,1,1,1,2,1,6,4,1,1,1,1
"324",7567364,1,1,1,4,2,1,4,3,2,1,1,1
"325",7567373,1,1,1,4,1,1,6,3,2,1,1,1
"326",7567374,1,1,1,3,2,1,6,3,2,1,1,1
"327",7567375,1,1,1,3,2,1,4,3,2,1,1,1
"328",7567377,1,1,1,3,2,1,4,1,2,1,1,1
"329",7567379,1,1,1,3,1,1,4,3,2,1,1,1
"330",7567380,1,1,1,4,1,1,6,3,2,1,1,1
"331",7567381,1,1,1,4,1,1,6,3,2,1,1,1
"332",7567382,1,1,1,4,1,1,4,3,2,1,1,1
"333",7567383,1,1,1,4,2,1,4,1,2,1,1,1
"334",7567384,1,1,1,4,2,1,4,3,2,1,1,1
"335",7567385,1,1,1,4,1,1,6,3,2,1,1,1
"336",7567386,1,1,1,4,1,5,6,4,1,1,1,1
"337",7567387,1,1,1,1,1,1,6,3,1,1,1,1
"338",7567389,1,1,1,3,3,5,6,4,1,1,1,1
"339",7567390,1,1,1,4,1,1,4,4,1,1,1,1
"340",7567391,1,1,1,4,1,5,7,4,1,1,1,1
"341",7567392,1,1,1,4,1,1,4,4,2,1,1,1
"342",7567393,1,1,1,4,1,1,6,4,2,1,1,1
"343",7567396,1,1,1,4,1,1,4,3,2,1,1,1
"344",7567397,1,1,1,4,1,1,6,1,2,1,1,1
"345",7567398,1,1,1,4,1,1,6,4,2,1,1,1
"346",7567399,1,1,1,4,1,1,4,3,2,1,1,1
"347",7567405,1,1,1,4,1,1,6,4,2,1,1,1
"348",7567406,1,1,1,4,1,1,4,3,1,1,1,1
"349",7567407,1,1,1,2,1,1,4,1,2,1,1,1
"350",7567410,1,1,1,4,2,1,4,4,1,1,1,1
"351",7567411,1,1,1,2,1,1,6,4,2,1,1,1
"352",7567412,1,1,1,4,2,1,4,4,1,1,1,1
"353",7567414,1,1,1,4,2,1,6,4,1,1,1,1
"354",7567415,1,1,1,2,1,1,6,4,2,1,1,1
"355",7567417,1,1,1,4,1,1,6,4,2,1,1,1
"356",7567418,1,1,1,2,1,1,6,4,2,1,1,1
"357",7567419,1,1,1,4,2,1,4,3,2,1,1,1
"358",7567420,1,1,1,4,1,1,4,2,2,1,1,1
"359",7567422,1,1,1,2,1,9,6,4,2,1,1,1
"360",7567423,1,1,1,4,1,1,4,4,2,1,1,1
"361",7567425,1,1,1,4,1,1,6,3,1,1,1,1
"362",7567426,1,1,1,4,1,1,4,3,2,1,1,1
"363",7567427,1,1,1,4,1,1,4,3,1,1,1,1
"364",7567428,1,1,1,3,1,1,6,3,1,1,1,1
"365",7567429,1,1,1,4,1,1,4,3,1,1,1,1
"366",7567430,1,1,1,4,1,1,6,3,2,1,1,1
"367",7567431,1,1,1,4,1,1,4,3,1,1,1,1
"368",7567433,1,1,1,4,1,1,6,3,1,1,1,1
"369",7567436,1,1,1,3,1,1,6,3,1,1,1,1
"370",7567439,1,1,1,1,1,1,4,1,3,1,1,1
"371",7567440,1,1,1,4,1,1,4,1,3,1,1,1
"372",7567441,1,1,1,2,2,1,4,1,6,1,1,1
"373",7567442,1,1,1,4,2,1,4,1,6,1,1,1
"374",7567443,1,1,1,2,2,1,4,1,2,1,1,1
"375",7567444,1,1,1,2,2,1,4,1,2,1,1,1
"376",7567445,1,1,1,1,1,1,6,5,2,1,2,1
"377",7567446,1,1,1,4,2,1,6,1,2,1,1,1
"378",7567447,1,1,1,2,2,1,4,1,3,1,1,1
"379",7567448,1,1,1,4,2,1,4,4,2,1,1,1
"380",7567449,1,1,1,4,2,1,4,5,2,1,1,1
"381",7567450,1,1,1,3,2,1,4,1,2,1,1,1
"382",7567451,1,1,1,2,1,1,4,5,2,1,1,1
"383",7567453,1,1,1,3,3,1,4,1,2,1,1,1
"384",7567455,1,1,1,4,2,1,4,5,2,1,1,1
"385",7567456,1,1,1,4,1,1,6,4,2,1,1,1
"386",7567457,1,1,1,2,1,1,4,4,1,1,1,1
"387",7567459,1,1,1,4,1,1,6,4,1,1,1,1
"388",7567460,1,1,1,4,1,1,4,4,1,1,1,1
"389",7567462,1,1,1,3,1,1,6,4,1,1,1,1
"390",7567463,1,1,1,4,1,1,4,4,1,1,1,1
"391",7567465,1,1,1,4,1,1,4,4,2,1,1,1
"392",7567466,1,1,1,4,1,1,4,4,1,1,1,1
"393",7567468,1,1,1,4,1,1,6,4,2,1,1,1
"394",7567469,1,1,1,4,1,1,1,4,2,1,1,1
"395",7567471,1,1,1,3,1,1,6,4,2,1,1,1
"396",7567472,1,1,1,4,1,1,4,4,2,1,1,1
"397",7567474,1,1,1,4,1,1,6,4,2,1,1,1
"398",7567475,1,1,1,4,1,1,4,4,2,1,1,1
"399",7567476,1,1,1,4,1,1,6,4,2,1,1,1
"400",7567477,1,1,1,3,2,1,4,4,2,1,1,1
"401",7567478,1,1,1,3,1,1,4,4,2,1,1,1
"402",7567479,1,1,1,3,1,1,4,4,2,1,1,1
"403",7567480,1,1,1,1,1,1,4,4,1,1,1,1
"404",7567481,1,1,1,1,1,1,6,4,2,1,1,1
"405",7567483,1,1,1,1,2,1,4,4,2,1,1,1
"406",7567484,1,1,1,4,1,1,6,4,2,1,1,1
"407",7567485,1,1,1,4,1,1,4,4,2,1,1,1
"408",7567486,1,1,1,4,1,1,4,1,2,1,1,1
"409",7567487,1,1,1,4,2,1,4,4,1,1,1,1
"410",7567488,1,1,1,4,2,1,4,4,1,1,1,1
"411",7567490,1,1,1,4,2,1,1,1,2,1,1,1
"412",7567491,1,1,1,4,1,1,4,1,3,1,1,1
"413",7567492,1,1,1,4,1,1,6,4,1,1,1,1
"414",7567493,1,1,1,4,3,1,6,4,1,1,1,1
"415",7567494,1,1,1,4,3,1,6,4,1,1,1,1
"416",7567495,1,1,1,4,2,1,6,4,1,1,1,1
"417",7567496,1,1,1,4,2,1,6,4,1,1,1,1
"418",7567497,1,1,1,4,3,1,6,4,1,1,1,1
"419",7567498,1,1,1,4,2,1,4,4,3,1,1,1
"420",7567499,1,1,1,4,1,1,4,4,3,1,1,1
"421",7567500,1,1,1,4,2,1,6,4,1,1,1,1
"422",7567501,1,1,1,4,2,1,6,4,1,1,1,1
"423",7567506,1,2,1,3,1,1,4,4,1,2,2,2
"424",7567507,1,2,1,1,1,5,5,4,1,2,2,2
"425",7567508,1,2,1,1,1,5,5,4,1,2,2,2
"426",7567509,1,2,1,1,1,5,5,4,1,2,2,2
"427",7567510,1,1,1,3,1,1,6,4,1,1,1,1
"428",7567511,1,1,1,3,1,1,4,4,1,1,1,1
"429",7567512,1,1,1,3,1,1,6,4,1,1,1,1
"430",7567514,1,1,1,4,1,1,4,4,1,1,1,1
"431",7567515,1,1,1,3,1,1,6,4,1,1,1,1
"432",7567516,1,1,1,3,1,1,6,4,1,1,1,1
"433",7567517,1,1,1,3,1,1,4,4,1,1,1,1
"434",7567518,1,1,1,3,1,1,6,4,1,1,1,1
"435",7567519,1,1,1,4,2,1,6,4,1,1,1,1
"436",7567520,1,2,2,3,1,1,6,4,1,1,2,1
"437",7567521,1,2,1,3,1,1,6,4,1,1,2,1
"438",7567522,1,2,1,3,1,1,4,4,1,1,2,1
"439",7567523,1,2,1,3,1,1,6,4,1,1,2,1
"440",7567524,1,2,1,3,1,1,4,4,1,1,2,1
"441",7567525,1,2,1,3,1,1,6,4,1,1,2,1
"442",7567526,1,2,1,3,1,1,4,4,1,1,2,1
