DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A3;P784S4A4
7578252;1;1;1;124.38774032;1;150000
7578260;1;1;1;232.69294857;1;1920000
7578291;1;1;1;193.9253963;1;800000
7578415;1;1;1;82.431549871;1;960000
7578460;1;1;1;34.218035626;1;912000
7578487;1;1;1;206.1466868;1;228000
7578914;1;1;1;68.544604665;2;98
7578921;1;1;1;80.414201844;1;120000
7578991;1;1;1;37.931363012;1;225000
7579044;1;1;1;11.907516849;1;400000
7579044;1;2;1;11.907516849;1;500000
7579046;1;1;1;12.337504335;1;300000
7579047;1;1;1;13.585636993;1;480000
7583361;1;1;1;210.86919022;1;228000
7583377;1;1;1;85.357244779;1;228000
7583397;1;1;1;215.62021547;1;304000
7583402;1;1;1;59.342931113;1;210000
7583420;1;1;1;118.29155969;1;280000
7583424;1;1;1;107.75638088;1;304000
7583436;1;1;1;133.46342677;1;420000
7583498;1;1;1;40.641317843;1;720000
7583711;1;1;1;80.847431407;1;400000
7583746;1;1;1;45.103721916;1;300000
7583747;1;1;1;36.966656047;2;1200000
7583755;1;1;1;242.98593978;1;150000
7583855;1;1;1;34.099817049;1;585000
7583967;1;1;1;129.05241656;1;1920000
7583970;1;1;1;116.07469923;1;3160000
7583979;1;1;1;96.319991182;1;215000
7583985;1;1;1;36.669860495;1;4800000
7584003;1;1;1;139.10484213;1;600000
7584004;1;1;1;169.08253562;1;912000
7584029;1;1;1;47.720375255;1;75000
7584095;1;1;1;4.3170709249;1;420000
7584267;1;1;1;24.310618997;1;75000
7584365;1;1;1;52.655241881;1;450000
7584620;1;1;1;205.72885048;1;750000
7584655;1;1;1;367.26059357;1;228000
7584658;1;1;1;332.57379264;1;250000
7584865;1;1;1;186.4209435;1;65000
7584878;1;1;1;170.53392001;1;400000
7584910;1;1;1;1592.8020789;1;1120000
7585197;1;1;1;101.23386183;1;450000
7585217;1;1;1;154.24577903;1;500000
7585241;1;1;1;765.5005847;1;80000
7585258;1;1;1;243.99173031;2;76000
7585260;1;1;1;161.50661279;1;720000
7585269;1;1;1;1202.3663838;1;456000
7585520;1;1;1;160.71528295;1;2000000
7585636;1;1;1;64.877520343;1;450000
7585639;1;1;1;85.278867483;1;912000
7585796;1;1;1;238.58341309;1;1200000
7585874;1;1;1;217.50252449;1;980000
7585875;1;1;1;125.93709008;2;1800000
7585876;1;1;1;179.8127022;1;970000
7585883;1;1;1;230.5985625;1;970000
7585890;1;1;1;208.71738226;1;152000
7585895;1;1;1;429.41761644;1;456000
7585901;1;1;1;241.14836948;1;456000
7585903;1;1;1;202.76381259;1;380000
7585936;1;1;1;346.88578636;1;456000
7585960;1;1;1;121.10681292;1;456000
7585989;1;1;1;473.38988569;1;1800000
7586223;1;1;1;11.491628143;1;150000
7586251;1;1;1;10.183786445;1;6000000
7586291;1;1;1;9.2435342467;1;76000
7586351;1;1;1;54.319270783;1;450000
7586429;1;1;1;20.61531996;1;76000
7586467;1;1;1;19.686541448;1;240000
7586472;1;1;1;16.937875026;1;450000
7586488;1;1;1;26.80504071;1;280000
7586492;1;1;1;63.367787746;1;450000
7586497;1;1;1;17.65748893;1;150000
7586507;1;1;1;36.302123592;1;450000
7586519;1;1;1;14.907919753;1;900000
7586520;1;1;1;31.034391604;2;350000
7586634;1;1;1;59.042514342;1;760000
7586637;1;1;1;12.113186074;1;200000
7586638;1;1;1;20.107718803;1;200000
7586640;1;1;1;20.665848189;1;240000
7586643;1;1;1;9.8287508076;1;100000
7591548;1;1;1;115.13569828;1;228000
7591603;1;1;1;107.44360961;1;420000
7591621;1;1;1;253.50567501;1;456000
7591924;1;1;1;73.651536241;1;1200000
7591935;1;1;1;89.881962375;1;380000
7591969;1;1;1;193.06758856;1;1260000
7591986;1;1;1;99.322187934;1;1800000
7592045;1;1;1;130.49614902;1;37000
7592053;1;1;1;12.151000771;1;99
7592077;1;1;1;495.2222424;1;750000
7592111;1;1;1;254.95012281;1;65000
7592230;1;1;1;27.55449985;4;99
7592232;1;1;1;124.31157599;1;3000000
7592236;1;1;1;16.469851675;1;152000
7592238;1;1;1;24.144570439;1;380000
7592287;1;1;1;85.816934383;2;1200000
7592587;1;1;1;13.13657848;1;380000
7592811;1;1;1;258.94858633;1;530000
7592823;1;1;1;193.05412548;1;210000
7593035;1;1;1;2049.5889708;1;1920000
7593086;1;1;1;118.62013778;1;420000
7593112;1;1;1;93.051917053;1;420000
7593126;1;1;1;47.081707971;1;1920000
7593127;1;1;1;143.57304442;1;900000
7593169;1;1;1;79.967819264;1;99
7593211;1;1;1;25.730478988;1;1920000
7593235;1;1;1;153.50993615;1;1960000
7593356;1;1;1;98.699970007;1;300000
7593365;1;1;1;112.70509454;1;320000
7593447;1;1;1;117.81542354;1;960000
7593463;2;1;2;23.977262308;1;200000
7593463;1;1;1;23.977262308;3;350000
7593465;1;1;1;11.97788678;1;300000
7593506;1;1;1;441.23997155;1;450000
7593517;1;1;1;86.773607047;1;75000
7593533;1;1;1;136.38532732;1;450000
7593541;1;1;1;34.776210533;1;1600000
7593567;1;1;1;139.10484213;1;225000
7593580;1;1;1;287.35162751;1;970000
7593615;1;1;1;143.74260841;1;1920000
7593617;1;1;1;85.436240788;1;525000
7593653;1;1;1;4.0750172099;1;2400000
7593693;1;1;1;34.776210533;1;1600000
7594127;1;1;1;31.683570967;1;225000
7594142;1;1;1;60.019677528;1;100000
