DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7571530;1;1;1;115.31344595;6
7571536;1;1;1;38.825480437;3
7571536;2;1;2;38.825480437;4
7571538;1;1;1;53.786835703;3
7571538;2;1;2;53.786835703;4
7571550;1;1;1;50.743510412;3
7571612;1;1;1;87.605587788;4
7571624;1;1;1;40.464780324;4
7571624;2;1;2;40.464780324;5
7571635;1;1;1;72.111276367;2
7571638;1;1;1;90.103264782;4
7571644;1;1;1;1796.3771522;2
7571644;2;1;2;1796.3771522;3
7571655;1;1;1;247.68945067;3
7571655;2;1;2;247.68945067;4
7571658;1;1;1;55.509231448;4
7571658;2;1;2;55.509231448;5
7571658;3;1;3;55.509231448;6
7571661;1;1;1;37.339624088;1
7571679;1;1;1;30.717990265;3
7571682;1;1;1;34.708178086;3
7571683;1;1;1;31.245480935;3
7571683;2;1;2;31.245480935;4
7571683;3;1;3;31.245480935;5
7571732;1;1;1;14.093598763;4
7571733;1;1;1;9.5782526336;2
7571744;1;1;1;72.783615608;3
7571744;2;1;2;72.783615608;4
7574473;1;1;1;488.87939786;2
7574495;1;1;1;11.128086119;4
7574517;1;1;1;363.92248747;2
7574587;1;1;1;126.11835009;3
7574587;2;1;2;126.11835009;4
7574587;3;1;3;126.11835009;5
7574610;1;1;1;41.144933857;2
7574643;1;1;1;75.558999707;5
7574646;1;1;1;68.283099573;3
7574646;2;1;2;68.283099573;5
7574663;1;1;1;74.632022879;3
7574663;2;1;2;74.632022879;4
7574663;3;1;3;74.632022879;5
7574666;1;1;1;109.15976761;2
7574690;1;1;1;390.05719394;5
7574707;2;1;2;64.996410573;4
7574707;1;1;1;64.996410573;3
7574709;1;1;1;74.175330734;2
7574710;1;1;1;62.419625756;2
7574710;2;1;2;62.419625756;3
7574711;1;1;1;65.275655837;5
7574712;1;1;1;102.85916711;6
7574712;2;1;2;102.85916711;7
7574718;1;1;1;113.78645519;4
7574719;1;1;1;91.016950922;5
7574721;1;1;1;97.960923113;3
7574721;2;1;2;97.960923113;4
7574724;1;1;1;75.98460079;5
7574725;1;1;1;76.24633332;2
7574725;2;1;2;76.24633332;3
7574726;4;1;4;92.791852188;6
7574726;1;1;1;92.791852188;3
7574726;2;1;2;92.791852188;4
