DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P407S2;P5971;P5971S2;P5971S2A1
7567541;5;1;5;18.851322004;1;3;2;2;2;;;1;5
7567543;3;1;3;21.638635023;3;3;2;2;2;;;2;
7567543;6;1;6;21.638635023;6;3;2;2;2;;;2;
7567543;7;1;7;21.638635023;7;6;2;2;2;;;2;
7567547;4;1;4;40.002553001;4;3;2;2;2;;;1;4
7567547;5;1;5;40.002553001;5;3;2;2;2;;;1;2
7567550;4;1;4;19.597451421;4;3;2;2;2;;;2;
7567558;3;1;3;55.109622053;3;3;2;2;2;;;2;
7567561;4;1;4;32.160256862;2;3;2;2;2;;;2;
7567582;3;1;3;32.417048602;3;3;2;2;2;;;1;4
7567582;4;1;4;32.417048602;4;3;2;2;2;;;1;5
7567587;3;1;3;36.01280851;3;3;2;2;2;;;2;
7567593;3;1;3;23.753815035;1;3;2;2;2;;;1;6
7567595;3;2;3;54.321622046;2;6;2;2;2;;;2;
7567598;4;1;4;59.815270956;2;3;2;2;2;;;1;5
7567599;3;1;3;52.185267715;1;3;2;2;2;;;2;
7567602;3;1;3;49.437365519;2;3;2;2;2;;;2;
7567612;4;1;4;271.84996525;1;3;2;2;2;;;2;
7567613;4;1;4;246.97191327;2;3;2;2;2;;;1;2
7567633;4;1;4;168.02718547;3;3;2;2;2;;;2;
7567633;6;1;6;168.02718547;5;3;2;2;2;;;2;
7567635;3;1;3;162.76157127;1;3;2;2;2;;;1;4
7567635;4;1;4;162.76157127;1;3;2;2;2;;;1;4
7567637;3;1;3;242.94589884;1;4;2;2;2;;;1;5
7567637;4;1;4;242.94589884;1;4;2;2;2;;;1;3
7567637;5;1;5;242.94589884;1;4;2;2;2;;;2;
7567639;3;1;3;236.23565523;1;3;2;2;2;;;2;
7567639;4;1;4;236.23565523;1;4;2;2;2;;;2;
7567660;4;1;4;280.84701188;2;6;2;2;2;;;2;
7567662;3;1;3;260.97893367;1;3;2;2;2;;;2;
7567665;4;1;4;267.61127961;1;3;2;2;2;;;1;5
7567680;4;1;4;178.49295007;4;3;2;2;2;;;1;4
7567681;3;1;3;234.68103449;2;3;2;2;2;;;1;7
7567681;4;1;4;234.68103449;2;3;2;2;2;;;1;14
7567703;3;1;3;236.95013441;2;3;2;2;2;;;2;
7567708;4;1;4;157.59124226;1;3;2;2;2;;;1;1
7567710;3;1;3;208.30656205;1;3;2;2;2;;;2;
7567711;4;1;4;205.4103192;2;3;2;2;2;;;2;
7567712;3;1;3;228.18437219;1;3;2;2;2;;;2;
7567713;4;1;4;229.12062986;1;3;2;2;2;;;2;
7567716;3;1;3;188.25210706;2;3;2;2;2;;;2;
7567728;3;1;3;175.6491782;2;3;2;2;2;;;1;3
7567734;3;1;3;91.195350503;1;3;2;2;2;;;1;3
7567739;4;1;4;117.93106138;4;3;2;2;2;;;1;1
7567746;6;1;6;99.31655126;2;3;2;2;2;;;2;
7567751;3;1;3;146.48959009;1;3;2;2;2;;;2;
7567755;4;1;4;103.27916502;1;3;2;2;2;;;1;3
7567756;3;1;3;186.07810366;3;3;2;2;2;;;1;2
7567757;5;1;5;173.4143215;1;3;2;2;2;;;2;
7567760;3;1;3;193.8430508;3;3;2;2;2;;;1;1
7567760;4;1;4;193.8430508;4;3;2;2;2;;;1;1
7567761;4;1;4;135.53352129;2;3;2;2;2;;;1;2
7567765;4;1;4;151.1226581;1;3;2;2;2;;;2;
7567767;2;1;2;122.75554611;2;3;2;2;2;;;1;2
7567767;3;1;3;122.75554611;3;3;2;2;2;;;1;1
7567773;3;1;3;102.52169787;3;3;2;2;2;;;1;2
7567783;3;1;3;153.06628024;2;3;2;2;2;;;1;3
7567783;4;1;4;153.06628024;2;3;2;2;2;;;1;2
7567786;5;1;5;139.94912233;5;3;2;2;2;;;1;3
7567787;6;1;6;159.24792637;6;3;2;2;2;;;2;
7567788;4;1;4;122.24872318;4;3;2;2;2;;;1;5
7567789;2;1;2;145.32637319;2;3;2;2;2;;;2;
7567795;3;1;3;111.05644397;2;3;2;2;2;;;1;5
7567796;3;1;3;38.33179645;2;3;2;2;2;;;2;
7567800;5;1;5;54.094799502;1;3;2;2;2;;;1;2
7567806;3;1;3;142.7704534;2;3;2;2;2;;;1;8
7567815;5;1;5;81.869789168;2;3;2;2;2;;;1;1
7567828;3;1;3;43.427098402;2;3;2;2;2;;;1;5
7567832;2;1;2;334.41802157;2;3;2;2;2;;;1;5
7567832;3;1;3;334.41802157;3;3;2;2;2;;;1;2
7567835;2;1;2;238.11728868;2;3;2;2;2;;;1;1
7567836;4;1;4;420.11474426;2;3;2;2;2;;;1;7
7567836;5;1;5;420.11474426;2;3;2;2;2;;;1;7
7567840;4;1;4;502.20087662;4;3;2;2;2;;;1;2
7567841;4;1;4;370.40377794;4;3;2;2;2;;;1;2
7567844;2;1;2;321.29693946;2;6;2;2;2;;;2;
7567849;6;1;6;263.94249222;6;3;2;2;2;;;1;2
7567852;5;1;5;390.74169991;5;3;2;2;2;;;2;
7567854;4;1;4;388.74330806;4;3;2;2;2;;;1;5
7567859;3;1;3;249.14618836;1;3;2;2;2;;;1;1
7567864;6;1;6;516.63443106;4;3;2;2;2;;;2;
7567864;7;1;7;516.63443106;4;3;2;2;2;;;2;
7567869;5;1;5;305.94010529;2;3;2;2;2;;;1;3
7567869;6;1;6;305.94010529;2;3;2;2;2;;;1;1
7567870;3;1;3;614.03576981;3;3;2;2;2;;;2;
7567871;3;1;3;310.09754029;3;3;2;2;2;;;1;1
7567879;2;1;2;308.93936486;2;3;2;2;2;;;1;2
7567884;3;1;3;492.80884712;1;6;2;2;2;;;2;
7567888;3;1;3;168.12898055;3;3;2;2;2;;;2;
7567889;3;1;3;253.92303693;3;3;2;2;2;;;2;
7567900;5;1;5;210.03689246;2;3;2;2;2;;;2;
