DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P51;P772;P773;P6169;P6169S1;P8564;P8564S1;P8566;P8566S1;P8568;P8568S1;P6191;P6191S1;P8572;P8572S1;P8574;P8574S1;P8576;P8576S1;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S14;P779S9A2
7721052;4;1;4;194.32594223;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721052;5;1;5;194.32594223;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7721052;6;1;6;194.32594223;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7721053;5;1;5;181.09849766;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;;;;;;;;;;;;;;;;;;;;;
7721064;3;1;3;546.91831431;2;6;;;;;;;;;;;;;;;;;;2;;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721071;3;1;3;685.97731908;2;2;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721082;4;1;4;921.47522264;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;1;1;2;;;1;1;1;3;;;1;2;1;1;;;;;;;
7721090;5;1;5;687.37962554;2;2;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;3;;;;;;;;;;;1;1;;;;;1;2;;;;;;;;;
7721091;4;1;4;919.56608956;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;1;1;;;;;;;;;1;1;1;1;1;1;;;;;;;
7721092;4;1;4;185.97749336;2;9;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;1;2;;;1;1;1;1;;;1;1;1;2;1;1;;;1;2;;;
7721094;3;1;3;714.55928671;1;;5;1;500000;2;;1;100000;2;;1;200000;2;;2;;2;;1;1;;;;1;1;;;;1;2;;;;;1;2;1;2;1;2;;;1;2;;;1;3;1;2;;;1;3;;;
7721094;4;1;4;714.55928671;2;4;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;1;2;1;2;1;2;;;;;;;;;;;;;;;;;
7721098;3;1;3;125.13788399;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;2;;;;;1;3;;;3000;1;2;;;;;;;;;1;1;1;1;;;;;1;1;;;1;1;1;1;;;
7721100;4;1;4;15.741447855;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;1;2;;;;;;;;;1;1;;;1;1;;;;;;;
7721103;5;1;5;695.28442237;5;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;49;2;;;;;;1;1;;;;;;;1;4;1;2;;;;;;;
7721104;4;1;4;20.902794211;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;1;;;1;1;;;1;1;;;;;;;
7721105;4;1;4;23.964768482;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;1;2;1;2;1;4;;;;;1;2;;;1;1;;;1;3;;;
7721105;5;1;5;23.964768482;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;1;2;1;2;;;1;1;;;;;;;1;1;;;;;;;
7721107;4;1;4;117.94840412;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;1;2;;;1;1;;;1;2;;;1;1;;;;;;;
7721109;3;1;3;26.768748074;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;;;;;;;;;;;;;1;1;;;;;;;
7721117;3;1;3;25.352025495;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;3;;;;;;;;;
7721119;2;1;2;18.185799568;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7721127;7;1;7;764.20954324;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721132;4;1;4;738.00822208;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;1;2;1;1;;;;;;;
7721132;5;1;5;738.00822208;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;
7721138;4;1;4;950.80184684;5;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;73;2;;;;;;;;1;2;;;;;1;2;1;1;;;;;;;
7721143;2;1;2;137.35586986;2;4;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;1;1;;;1;1;;;;;;;;;;;;;;;;;
7721150;3;1;3;864.17003112;1;;5;2;;1;45000;1;90000;2;;1;150000;2;;1;87000;2;;1;1;;;;1;4;;;;1;2;;;;;;;1;2;;;1;1;;;1;2;1;2;;;;;;;;;
7721156;3;1;3;201.69255378;1;;5;1;1000000;1;200000;1;100000;2;;1;900000;2;;1;99;2;;1;1;;;;1;1;;;;1;2;;;;;1;1;;;;;;;1;1;1;1;;;1;1;;;;;;;
7721160;3;1;3;189.67071646;2;4;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;2;;;;;1;1;1;1;1;1;1;1;;;1;1;;;;;;;;;;;
7721163;4;1;4;485.4619345;1;;5;1;780000;1;350000;1;250000;2;;1;280000;1;130000;2;;2;;1;4;;;;1;4;;;;1;3;;;;;1;3;;;1;1;;;;;;;1;3;1;1;;;;;;;
7721184;3;1;3;124.88239007;2;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;1;1;2;;;;;;;
7721187;3;1;3;864.17003112;1;;5;1;600000;2;;2;;2;;1;550000;2;;2;;2;;2;;;;;1;4;;;;1;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;
7721193;3;1;3;150.40245919;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7721199;3;1;3;242.90899679;1;;5;1;250000;1;160000;1;180000;2;;1;300000;2;;2;;2;;1;1;;;;1;1;;;;2;;2;58;2;;1;1;1;1;;;1;1;;;;;1;1;;;;;;;;;
7721200;4;1;4;910.39736746;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;57;8;;1;1;;;;;;;;;;;1;2;1;1;;;;;;;
7721201;4;1;4;760.14237798;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;
7721208;4;1;4;271.90486319;2;1;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;1;4;1;4;1;4;1;4;;;;;;;1;1;;;;;;;
7721208;5;1;5;271.90486319;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7721216;3;1;3;617.15729968;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;
7721224;4;1;4;338.53300842;2;7;;;;;;;;;;;;;;;;;;2;;;;;1;3;;;5000;1;2;;;;;1;2;;;;;1;2;;;;;;;1;2;;;;;;;
7721224;5;1;5;338.53300842;2;7;;;;;;;;;;;;;;;;;;2;;;;;1;3;;;5000;1;2;;;;;1;2;1;2;;;;;;;;;1;2;1;2;;;;;;;
7721229;3;1;3;227.22712329;2;9;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;1;1;1;1;;;;;;;;;;;;;;;;;1;;1
7721233;5;1;5;1094.8443525;1;;1;1;15000;1;80000;2;;2;;1;17000;2;;1;17000;2;;1;3;;;4000;1;3;;;4000;1;2;;;;;1;2;1;2;1;2;1;2;;;1;2;1;2;1;1;1;2;;;;;
7721238;2;1;2;333.29167763;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;;;1;1;;;;;;;
7721238;3;1;3;333.29167763;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721245;4;1;4;1297.4346992;5;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;1;1;1;1;2;1;2;;;1;1;1;2;1;1;1;2;;;;;
7721259;3;1;3;279.00756167;2;1;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;1;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;
7721264;3;1;3;824.96727106;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;1;1;1;;;;;;;1;1;;;;;;;;;
7721276;4;1;4;811.3033927;1;;1;1;15000;1;220000;1;50000;1;30000;1;15000;2;;2;;2;;1;3;;;8000;1;3;;;3000;2;;2;35;4;;;;;;1;1;;;;;;;;;1;1;;;;;;;
7721284;3;1;3;217.85757143;1;;2;2;;2;;2;;2;;1;17500;2;;2;;2;;1;3;;;10000;1;3;;;6000;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721286;3;1;3;272.1416874;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;1;2;;;;;1;2;1;2;;;;;;;
7721292;5;1;5;368.98018072;1;;1;2;;2;;1;10000;2;;1;15000;2;;2;;2;;1;3;;;5000;1;3;;;5000;1;2;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;
7721302;5;1;5;324.11387786;1;;2;2;;2;;2;;2;;1;15000;2;;2;;2;;1;3;;;5000;1;3;;;5000;1;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7721306;4;1;4;271.34586514;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;
7721308;2;1;2;183.89137333;8;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;25;10;;;;;;;;;;;;;;;;;;;;;;;1;
7721309;4;1;4;271.34586514;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721310;2;1;2;335.43385488;5;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;1;1;;;;;;;1;1;1;1;;;;;
7721310;4;1;4;335.43385488;2;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;
7721311;3;1;3;258.9689399;8;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721317;3;1;3;225.14693694;5;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;2;;2;25;4;;;;;;;;1;1;;;1;1;;;1;1;;;;;;;
7721318;4;1;4;271.34586514;8;9;;;;;;;;;;;;;;;;;;1;4;;;;1;3;;;4000;2;;2;60;2;;1;1;;;;;;;;;;;;;1;1;;;1;1;1;;1
7721320;3;1;3;184.56977271;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;
7721322;3;1;3;432.20256808;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;1;1;1;1;1;1;1;;;1;1;1;2;1;2;;;;;;;
7721322;4;1;4;432.20256808;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;1;1;1;1;1;1;1;;;;;1;2;1;2;;;;;;;
7721323;4;1;4;351.42362862;8;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;2;;2;35;10;;;;;;;;;;;;1;1;1;1;1;1;;;;;;;
7721338;4;1;4;241.85375034;2;9;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;;;1;1;;;;;;;1;1;1;1;;;;;;;
7721339;3;1;3;185.9571976;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;;;;;;;;;;;;;;;;;
7721344;3;1;3;141.84164039;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;2;;;;;1;1;;;;;;;1;1;;;;;;;
7721345;3;1;3;442.03027274;2;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;
7721347;3;1;3;410.25657593;1;;5;2;;2;;2;;2;;1;260000;2;;1;98;2;;1;1;;;;1;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721349;4;1;4;562.3954726;1;;5;1;100000;2;;1;30000;2;;1;100000;2;;2;;2;;1;1;;;;1;1;;;;2;;2;52;1;;;;;;;;;;;;;;;;;;;;1;1;;;
7721353;2;1;2;5.6237763929;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7721354;8;1;8;16.209556449;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7721360;3;1;3;81.429256629;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;49;1;;;;;;;;;;;;1;2;;;;;;;;;;;
7721360;4;1;4;81.429256629;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;49;1;;;;;;;;;;;;1;2;;;;;;;;;;;
7721362;3;1;3;15.659472429;1;;3;2;;1;50000;2;;2;;2;;2;;2;;2;;1;3;;;10000;1;3;;;5000;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721364;5;1;5;81.429256629;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;6000;1;3;;;4000;1;2;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7721365;5;1;5;15.659472429;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721366;3;1;3;15.659472429;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;6000;1;3;;;3000;1;2;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7721379;4;1;4;68.404164863;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;;;1;2;;;;;
7721389;4;1;4;61.988665756;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;2;;;;;;;;;
7721394;3;1;3;25.380085749;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;2;;;;;1;3;1;3;;;;;;;
7721395;4;1;4;39.11406895;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7721397;4;1;4;43.920528339;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;1;2;;;;;;;
7721408;4;1;4;39.11406895;5;6;;;;;;;;;;;;;;;;;;1;3;;;10000;1;3;;;2000;1;2;;;;;;;;;;;1;1;;;1;2;;;;;;;;;;;
7721417;5;1;5;199.79485231;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;6;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721421;7;1;7;196.28384059;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;6;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
7721431;4;1;4;188.41049247;4;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;2;;2;43;3;;;;1;2;;;1;1;;;1;1;;;;;;;;;;;
7721443;3;1;3;367.71258628;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721443;4;1;4;367.71258628;2;4;;;;;;;;;;;;;;;;;;2;;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721444;6;1;6;432.85133646;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;53;2;;;;;;;;;;;;;;;;;;;;;;;1;
7721445;3;1;3;321.88007205;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7721448;3;1;3;230.75758994;4;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;2;;2;40;4;;;;1;2;;;1;2;;;;;1;2;1;2;;;;;;;
7721456;4;1;4;152.21243815;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721474;10;1;10;314.34954127;5;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721484;3;1;3;195.07883155;5;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721487;4;1;4;267.76718868;2;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;6;;;;;;;;;;;1;1;;;;;1;2;;;;;;;;;
7721499;5;2;5;106.91111272;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721503;5;1;5;182.21265367;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721512;3;1;3;307.37685233;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721517;4;1;4;172.43406728;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;
7721519;4;1;4;204.11470637;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721520;4;1;4;251.91971225;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;1;2;1;2;;;1;1;;;1;1;;;;;;;
7721521;5;1;5;201.59745103;1;;1;2;;1;50000;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;1;2;;;
7721523;4;1;4;190.43410633;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;;;1;1;1;1;;;;;
7721531;8;1;8;303.57484193;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;7;;;;;;;;;;;1;2;;;1;1;;;1;1;1;2;;;;;
7721532;4;1;4;210.99764352;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721536;4;1;4;210.99764352;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721541;3;1;3;224.76405693;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721541;4;1;4;224.76405693;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721543;5;1;5;224.19728273;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;1;2;1;1;;;;;;;1;1;;;;;;;
7721546;4;1;4;264.28599497;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721552;6;1;6;182.88829028;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;1;2;;;1;1;;;1;2;1;2;1;2;;;
7721556;2;1;2;182.5163017;5;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;42;1;;;;;;1;2;1;2;;;1;2;;;1;1;;;;;;;
7721556;3;1;3;182.5163017;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;15;3;;1;1;;;;;1;1;;;1;1;;;1;1;;;;;;;
7721560;5;1;5;184.10857049;3;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;1;1;;;;;
7721563;5;1;5;282.59091877;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;1;;;1;1;;;1;1;1;1;;;;;
7721577;3;1;3;126.297011;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;;;;;;;;;;;;;
7721578;4;1;4;147.68115296;3;6;;;;;;;;;;;;;;;;;;2;;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;1;2;;;
7721592;3;1;3;175.63965847;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;45;1;;;;1;2;;;;;;;;;1;2;;;;;;;;;
7721595;4;1;4;191.6113635;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;
7721597;4;1;4;183.48231364;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;50;2;;;;;;;;1;2;;;;;;;1;2;;;;;;;
7721598;4;1;4;160.64365506;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;1;2;1;2;;;1;2;1;2;1;2;;;;;;;
7721600;5;1;5;201.85784535;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;
7721607;5;1;5;144.24746131;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7721622;3;1;3;117.37177468;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7721632;2;1;2;175.3475792;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721635;4;1;4;158.05209111;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;1;2;;;;;1;2;1;2;;;;;;;;;
7721636;3;1;3;219.2047193;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;1;2;1;2;;;;;;;
7721636;4;1;4;219.2047193;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;1;2;;;;;;;
7721640;4;1;4;118.6539596;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721661;5;1;5;126.18652334;5;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;1;;;1;1;;;1;1;;;;;;;;;;;
7721664;5;1;5;165.97419546;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7721674;3;1;3;137.83273808;1;;4;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721674;4;1;4;137.83273808;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;1;2;;;1;2;;;;;;;
7721684;2;1;2;226.97443078;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;;;;;1;2;1;2;1;2;;;;;;;
7721684;3;1;3;226.97443078;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;1;2;;;;;1;2;1;2;;;;;;;
7721687;3;1;3;192.46146821;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721695;3;1;3;121.91501834;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;;;;;1;2;;;;;;;
7721706;3;1;3;58.57114174;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;4000;1;4;;;;1;1;;;;;;;;;1;1;1;1;;;1;1;;;1;2;;;;;;;
7721709;3;1;3;78.549236422;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;4000;1;4;;;;1;2;;;;;1;1;1;2;1;2;1;1;1;2;1;1;;;1;2;1;2;;;;;
7721711;3;1;3;89.752927638;1;;2;2;;1;100000;1;30000;2;;2;;2;;2;;2;;1;3;;;3000;1;3;;;3000;1;2;;;;;;;;;;;;;;;1;1;;;1;1;1;1;1;1;;;
7721714;3;1;3;106.86799505;1;;2;2;;2;;2;;2;;1;17000;2;;2;;2;;1;3;;;8000;1;3;;;2000;1;1;;;;;;;;;;;;;;;1;1;1;1;1;1;;;;;;;
7721717;3;1;3;76.029171868;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;3;;;;;;;;;;;1;1;;;;;;;
7721723;5;1;5;106.54075123;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;1;1;1;1;;;1;1;1;1;;;1;1;;;;;
7721732;3;1;3;81.829598213;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721740;6;1;6;38.967374732;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7721745;4;1;4;85.181252244;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;1;2;1;2;;;1;1;;;1;1;1;2;;;;;
7721750;5;1;5;75.496381175;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;1;;;;;1;2;1;1;;;;;;;
7721760;3;1;3;129.52471584;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;1;2;1;2;1;2;;;;;;;;;
7721766;4;1;4;100.72500204;5;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;2;;;;;;;;;;;;;1;1;;;;;;;
