DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P8692S3A1
7571037;1;1;1;330.2900265;1
7571037;2;1;2;330.2900265;2
7571061;1;1;1;430.01518316;1
7571061;2;1;2;430.01518316;2
7571155;1;1;1;62.50776705;1
7571155;2;1;2;62.50776705;2
7571165;1;1;1;50.598378011;2
7571165;2;1;2;50.598378011;1
7571211;1;1;1;156.35756946;1
7571211;2;1;2;156.35756946;2
7571216;1;1;1;165.132367;1
7571216;2;1;2;165.132367;2
7571216;3;1;3;165.132367;3
7571219;1;1;1;173.4244492;1
7571219;2;1;2;173.4244492;2
7571306;1;1;1;158.28864404;1
7571306;2;1;2;158.28864404;2
7571318;1;1;1;218.32749483;1
7571318;2;1;2;218.32749483;2
7571334;1;1;1;244.65492991;1
7571334;2;1;2;244.65492991;2
7571376;1;1;1;113.12174407;1
7571376;2;1;2;113.12174407;2
7571377;1;1;1;64.484088008;1
7571377;2;1;2;64.484088008;2
7571458;1;1;1;235.57282552;1
7571458;2;1;2;235.57282552;2
7571460;1;1;1;288.65945076;1
7571460;2;1;2;288.65945076;2
7571465;1;1;1;166.4517058;1
7571465;2;1;2;166.4517058;3
7571496;1;1;1;419.51895396;1
7571496;2;1;2;419.51895396;2
7571544;1;1;1;27.102940172;1
7571544;2;1;2;27.102940172;2
7571561;1;1;1;236.42505156;1
7571561;2;1;2;236.42505156;2
7571561;3;1;3;236.42505156;3
7571561;4;1;4;236.42505156;4
7571562;1;1;1;156.19029849;1
7571562;2;1;2;156.19029849;2
7571562;3;1;3;156.19029849;3
7571594;1;1;1;113.57306945;1
7571594;2;1;2;113.57306945;3
7571707;1;1;1;165.568764;1
7571707;2;1;2;165.568764;2
7574467;1;1;1;576.85513028;1
7574467;2;1;2;576.85513028;2
7574759;1;1;1;133.50618031;1
7574759;2;1;2;133.50618031;2
7574872;1;1;1;315.11757074;2
7574872;2;1;2;315.11757074;3
7574872;3;1;3;315.11757074;4
7574872;4;1;4;315.11757074;5
7574883;1;1;1;238.60800399;1
7574883;2;1;2;238.60800399;2
7574905;1;1;1;427.14692365;2
7574905;2;1;2;427.14692365;1
7574935;1;1;1;66.9502554;2
7574935;2;1;2;66.9502554;1
7574973;1;1;1;208.46187438;1
7574973;2;1;2;208.46187438;2
7574982;1;1;1;168.30715455;1
7574982;2;1;2;168.30715455;2
7574995;1;1;1;107.62305334;1
7574995;2;1;2;107.62305334;2
7574996;1;1;1;86.893248638;1
7574996;2;1;2;86.893248638;2
7575014;1;1;1;107.53949258;1
7575014;2;1;2;107.53949258;2
7575017;1;1;1;132.68508497;1
7575017;2;1;2;132.68508497;2
7575021;1;1;1;185.11776915;1
7575021;2;1;2;185.11776915;2
7575032;1;1;1;264.71261281;1
7575032;2;1;2;264.71261281;2
7575050;1;1;1;493.35843905;1
7575050;2;1;2;493.35843905;2
7575070;1;1;1;397.55043503;2
7575070;2;1;2;397.55043503;3
7575089;1;1;1;356.46666534;1
7575089;2;1;2;356.46666534;6
7575111;1;1;1;857.24782273;1
7575111;2;1;2;857.24782273;2
7575149;1;1;1;454.99046642;1
7575149;2;1;2;454.99046642;2
7575151;1;1;1;544.6250429;1
7575151;2;1;2;544.6250429;2
7575154;1;1;1;630.40926266;1
7575154;2;1;2;630.40926266;2
7575168;1;1;1;582.6564322;3
7575168;2;1;2;582.6564322;4
7575184;1;1;1;208.57040733;1
7575184;2;1;2;208.57040733;2
7575186;1;1;1;166.85632586;1
7575186;2;1;2;166.85632586;2
7575187;1;1;1;98.15077992;1
7575187;2;1;2;98.15077992;2
7575197;1;1;1;194.80742725;2
7575197;2;1;2;194.80742725;3
7575238;1;1;1;116.03771725;1
7575238;2;1;2;116.03771725;2
7575402;1;1;1;273.93467209;1
7575402;2;1;2;273.93467209;2
7575406;1;1;1;171.540722;1
7575406;2;1;2;171.540722;2
7575487;1;1;1;112.77918883;1
7575487;2;1;2;112.77918883;2
7575501;1;1;1;262.07388694;1
7575501;2;1;2;262.07388694;2
7575506;1;1;1;197.58604307;1
7575506;2;1;2;197.58604307;2
7575507;1;1;1;381.34769533;1
7575507;2;1;2;381.34769533;2
7575763;1;1;1;16.845700397;1
7575763;2;1;2;16.845700397;2
7575832;1;1;1;441.68521202;1
7575832;2;1;2;441.68521202;2
7575847;1;1;1;538.56265183;1
7575847;2;1;2;538.56265183;2
7575851;1;1;1;530.4940619;1
7575851;2;1;2;530.4940619;2
7575933;1;1;1;45.998525465;1
7575933;2;1;2;45.998525465;2
7576045;1;1;1;61.426840474;1
7576045;2;1;2;61.426840474;2
7576089;1;1;1;319.49933812;1
7576089;2;1;2;319.49933812;2
7576114;1;1;1;327.95936079;1
7576114;2;1;2;327.95936079;2
7576114;3;1;3;327.95936079;3
7576114;4;1;4;327.95936079;4
7576114;5;1;5;327.95936079;5
7576123;1;1;1;414.24586336;1
7576123;2;1;2;414.24586336;2
7576162;1;1;1;166.98677948;1
7576162;2;1;2;166.98677948;2
7576163;1;1;1;166.98677948;1
7576163;2;1;2;166.98677948;2
7576164;1;1;1;175.28428517;1
7576164;2;1;2;175.28428517;2
7576186;1;1;1;260.56843078;1
7576186;2;1;2;260.56843078;2
7576263;1;1;1;185.7837069;1
7576263;2;1;2;185.7837069;2
7576278;1;1;1;31.394842029;2
7576278;2;1;2;31.394842029;3
7576278;3;1;3;31.394842029;4
7576340;1;1;1;55.67088907;1
7576340;2;1;2;55.67088907;2
